【000】,瓷器,707.18
【001】,瓷器,538.77
【002】,餐饮,504.8
【003】,护肤品,483.21
【004】,护肤品,281.27
【005】,日用杂品,274.44
【006】,瓷器,232.77
【007】,食品,231.54
【008】,香水,224.78
【009】,护肤品,223.46
【010】,瓷器,212.53
【011】,其他机械设备,212.11
【012】,日用杂品,205.00
【013】,护肤品,202.40
【014】,日用杂品,201.90
【015】,软饮料,194.77
【016】,其他机械设备,184.97
【017】,保健休闲用品,183.50
【018】,保健休闲用品,178.99
【019】,其他机械设备,173.15
【020】,瓷器,166.03
【021】,食品,162.59
【022】,其他食品,152.58
【023】,其他机械设备,152.26
【024】,日用杂品,145.48
【025】,餐饮,132
【026】,瓷器,129.04
【027】,其他食品,124.94
【028】,其他食品,121.69
【029】,其他机械设备,121.38
【030】,瓷器,120.15
【031】,食品,111.39
【032】,其他食品,109.00
【033】,瓷器,106.27
【034】,酒,102.39
【035】,信息技术服务,99.00
【036】,其他机械设备,98.31
【037】,其他食品,95.06
【038】,其他食品,85.84
【039】,纺织产品,78.10
【040】,食品,69.82
【041】,其他机械设备,67.86
【042】,软饮料,65.82
【043】,食品,64.93
【044】,其他机械设备,63.63
【045】,软饮料,61.41
【046】,其他食品,59.24
【047】,其他食品,58.47
【048】,其他机械设备,57.04
【049】,酒,56.65
【050】,其他食品,50.71
【051】,其他食品,42.36
【052】,美容护肤品,42.00
【053】,保健休闲用品,40.00
【054】,保健休闲用品,38.00
【055】,软饮料,34.92
【056】,其他食品,33.80
【057】,其他食品,33.18
【058】,软饮料,33.14
【059】,其他食品,32.48
【060】,保健休闲用品,31.90
【061】,软饮料,31.76
【062】,其他食品,31.01
【063】,日用杂品,28.70
【064】,食品,28.25
【065】,日用杂品,27.90
【066】,其他食品,26.44
【067】,其他食品,25.90
【068】,保健休闲用品,25.82
【069】,软饮料,25.20
【070】,其他机械设备,20.90
【071】,方便食品,20.57
【072】,其他食品,19.68
【073】,其他食品,19.51
【074】,软饮料,19.40
【075】,其他食品,19.00
【076】,其他食品,18.20
【077】,日用杂品,17.47
【078】,软饮料B,17.26
【079】,软饮料,17.26
【080】,日用杂品,17.18
【081】,生物化学药品,17.13
【082】,其他食品,16.80
【083】,软饮料,16.68
【084】,其他机械设备,16.55
【085】,日用杂品,16.42
【086】,其他食品,16.24
【087】,软饮料,16.03
【088】,保健休闲用品,16.00
【089】,食品,15.39
【090】,其他食品,14.55
【091】,移动通信设备,14.45
【092】,软饮料,14.39
【093】,软饮料,14.00
[],总计,9764.44
